phrasal_type,phrase,ngram,CES,Mturk_result,Multiple_label_yes,Final_edit_yes,CNP_specific_yes,Frequency_over_10_yes
VP,access trail,2,Recreational,Recreational,,,,
VP,add short walk,3,Recreational,Recreational,,,,
VP,admire andean landscape,3,Aesthetic,Aesthetic,,,CNP,
VP,admire beauty,2,Aesthetic,Aesthetic,,,,
VP,admire landscape,2,Aesthetic,Aesthetic,,,,
VP,admire nature,2,Aesthetic,Aesthetic,,,,
VP,admire wonder of nature,4,Aesthetic,Aesthetic,,,,
NP,adrenaline experience,2,Spiritual,Spiritual,,,,
NP,adrenaline ride,2,Recreational,Recreational,,,,
VP,adventure to,2,Recreational,Recreational,,,,
NP,adventure walk,2,Recreational,Recreational,,,,
NP,afternoon stroll,2,Recreational,Recreational,,,,
NP,alpaca and llama,3,Biological,Biological,,,,
NP,alpaca on hill,3,Biological,Recreational,,"replaced, second frequent CES",CNP,
NP,alpine flora,2,Biological,Biological,,,,
NP,alpine flower,2,Biological,Biological,,,,
NP,alpine forest,2,Biological,Biological,,,CNP,
NP,alpine grass,2,Biological,Biological,,,,
NP,alpine lake,2,Aesthetic,Aesthetic,,,,
NP,alpine plant,2,Biological,Biological,,,,
NP,alpine tundra,2,Biological,Biological,,,,
NP,alpine wilderness,2,Identity,Identity,Y,,,
NP,alpine wilderness,2,Biological,Identity,Y,"added, second frequent CES",,
NP,alpine wildflower,2,Biological,Biological,,,,
NP,amazing beauty,2,Aesthetic,Aesthetic,,,,
NP,amazing hike,2,Recreational,Recreational,,,,
NP,amazing hiking,2,Recreational,Recreational,,,,
NP,amazing landscape,2,Aesthetic,Aesthetic,,,,
NP,amazing mountain,2,Aesthetic,Aesthetic,,,,
NP,amazing national park,3,Aesthetic,Aesthetic,,,,
NP,amazing nature,2,Aesthetic,Aesthetic,,,,
NP,amazing park,2,Identity,Identity,,,,
NP,amazing photo,2,Aesthetic,Aesthetic,,,,
NP,amazing place,2,Aesthetic,Aesthetic,,,,Y
NP,amazing plant,2,Biological,Biological,,,,
NP,amazing plant life,3,Biological,Biological,,,,
NP,amazing scenery,2,Aesthetic,Aesthetic,,,,Y
NP,amazing vegetation,2,Biological,Biological,,,,
NP,amazing view,2,Aesthetic,Aesthetic,,,,Y
NP,amazing vista,2,Aesthetic,Aesthetic,,,,
NP,american condor,2,Biological,Biological,,,,
NP,andean condor,2,Biological,Biological,,,CNP,
NP,andean duck,2,Biological,Biological,,,CNP,
NP,andean forest,2,Biological,Biological,,,CNP,
NP,andean gull,2,Biological,Biological,,,CNP,
NP,andean landscape,2,Biological,Biological,Y,,CNP,Y
NP,andean landscape,2,Aesthetic,Biological,Y,"added, manually",CNP,Y
NP,andean moorland,2,Biological,Biological,,,CNP,
NP,andean mountain,2,Identity,Identity,,,CNP,
NP,andean nature,2,Identity,Identity,,,CNP,
NP,andean paramo,2,Identity,Identity,Y,,CNP,
NP,andean paramo,2,Biological,Identity,Y,"added, second frequent CES",CNP,
NP,andean park,2,Biological,Biological,,,CNP,
NP,andean toucan,2,Biological,Biological,,,CNP,
NP,andean turkey,2,Biological,Biological,,,CNP,
NP,andean vegetation,2,Biological,Biological,,,CNP,
NP,animal life,2,Biological,Biological,,,,
VP,appreciate beauty of lake,4,Aesthetic,Aesthetic,,,,
VP,appreciate endemic flora,3,Biological,Biological,,,,
VP,appreciate great variety of plant,5,Biological,Biological,,,,
VP,appreciate landscape,2,Aesthetic,Aesthetic,,,,
VP,appreciate nature,2,Spiritual,Spiritual,,,,
VP,appreciate park,2,Aesthetic,Aesthetic,,,,
VP,appreciate plant and animal,4,Biological,Biological,,,,
VP,appreciate solitude,2,Spiritual,Spiritual,,,,
NP,appreciation of Andes Mountains,4,Identity,Identity,,,CNP,
NP,appreciation of fauna,3,Biological,Biological,,,,
VP,arrange horseback ride,3,Recreational,Recreational,,,,
VP,attempt big hike,3,Recreational,Recreational,,,,
VP,attempt hike,2,Recreational,Recreational,,,,
NP,attractive place,2,Aesthetic,Aesthetic,,,,
NP,awesome place,2,Aesthetic,Aesthetic,,,,
NP,awesome view,2,Aesthetic,Aesthetic,,,,
NP,baby llama,2,Biological,Biological,,,,
VP,be alone with nature,4,Spiritual,Spiritual,,,,
VP,be also ideal for fishing,5,Recreational,Recreational,,,,
VP,be at altitude,3,Identity,Identity,,,,
VP,be at high altitude,4,Recreational,Recreational,,,,
VP,be at peace,3,Spiritual,Spiritual,,,,
VP,be at peace with nature,5,Spiritual,Spiritual,,,,
VP,be away from city,4,Spiritual,Spiritual,,,,
VP,be away from civilization,4,Spiritual,Spiritual,,,,
VP,be bird,2,Biological,Biological,,,,
VP,be great escape from city,5,Spiritual,Spiritual,,,,
VP,be high in altitude,4,Identity,Identity,,,,
VP,be in contact with nature,5,Spiritual,Spiritual,,,,Y
VP,be in mountain,3,Recreational,Recreational,,,,
VP,be in silence,3,Spiritual,Spiritual,,,,
VP,be in touch with nature,5,Spiritual,Spiritual,,,,
VP,be interested in botany,4,Biological,Biological,,,,
VP,be interested in plant,4,Biological,Biological,,,,
VP,be intermittent mist,3,Identity,Spiritual,,"replaced, manually",,
VP,be intermittent mist and shower,5,Identity,Aesthetic,,"replaced, manually",,
VP,be into serious hiking,4,Recreational,Recreational,,,,
VP,be lake,2,Aesthetic,Identity,,"replaced, manually",,
VP,be life source,3,Spiritual,Spiritual,,,,
VP,be lot of andean wildlife,5,Biological,Biological,,,CNP,
VP,be lot of fog,4,Identity,Biological,,"replaced, manually",,
VP,be lot of wind,4,Identity,Identity,,,,
VP,be many trail to hike,5,Recreational,Recreational,,,,
VP,be most wet forest,4,Biological,Biological,,,,
VP,be on hike,3,Recreational,Recreational,,,,
VP,be rough walking,3,Recreational,Recreational,,,,
VP,be source of inspiration,4,Spiritual,Spiritual,,,,
VP,be together with family,4,Social,Social,,,,
VP,be variety of hiking trail,5,Recreational,Recreational,,,,
VP,be water source of city,5,Identity,Identity,,,,
VP,be with friend,3,Social,Social,,,,
NP,beautiful and magical place,4,Aesthetic,Aesthetic,,,,
NP,beautiful andean landscape,3,Aesthetic,Aesthetic,,,CNP,
NP,beautiful animal,2,Biological,Biological,,,,
NP,beautiful area,2,Aesthetic,Aesthetic,,,,
NP,beautiful bird,2,Biological,Aesthetic,Y,"added, second frequent CES",,
NP,beautiful bird,2,Aesthetic,Aesthetic,Y,,,
NP,beautiful country,2,Identity,Aesthetic,,"replaced, manually",,
NP,beautiful drive,2,Aesthetic,Aesthetic,,,,
NP,beautiful ecuador,2,Aesthetic,Aesthetic,,,CNP,
NP,beautiful environment,2,Aesthetic,Aesthetic,,,,
NP,beautiful flora,2,Biological,Biological,,,,
NP,beautiful flower,2,Aesthetic,Aesthetic,Y,,,
NP,beautiful flower,2,Biological,Aesthetic,Y,"added, manually",,
NP,beautiful forest,2,Aesthetic,Aesthetic,Y,,,
NP,beautiful forest,2,Aesthetic,Aesthetic,Y,,,
NP,beautiful high altitude,3,Aesthetic,Aesthetic,,,,
NP,beautiful high mountain,3,Aesthetic,Aesthetic,,,,
NP,beautiful highland,2,Aesthetic,Aesthetic,,,,
NP,beautiful hike,2,Recreational,Recreational,,,,
NP,beautiful lagoon,2,Aesthetic,Aesthetic,,,,Y
NP,beautiful lake,2,Aesthetic,Aesthetic,,,,Y
NP,beautiful landscape,2,Aesthetic,Aesthetic,,,,Y
NP,beautiful mountain,2,Aesthetic,Aesthetic,,,,Y
NP,beautiful national park,3,Aesthetic,Aesthetic,,,,Y
NP,beautiful natural landscape,3,Aesthetic,Aesthetic,,,,
NP,beautiful natural park,3,Aesthetic,Aesthetic,,,,
NP,beautiful natural site,3,Aesthetic,Aesthetic,,,,
NP,beautiful nature,2,Aesthetic,Aesthetic,,,,Y
NP,beautiful paradise,2,Aesthetic,Aesthetic,,,,
NP,beautiful paramo,2,Aesthetic,Aesthetic,,,CNP,
NP,beautiful park,2,Aesthetic,Aesthetic,,,,Y
NP,beautiful place,2,Aesthetic,Aesthetic,,,,Y
NP,beautiful polylepis,2,Aesthetic,Aesthetic,Y,,CNP,
NP,beautiful polylepis,2,Biological,Aesthetic,Y,"added, manually",CNP,
NP,beautiful scenery,2,Aesthetic,Aesthetic,,,,Y
NP,beautiful sight,2,Aesthetic,Aesthetic,,,,
NP,beautiful site,2,Aesthetic,Aesthetic,,,,
NP,beautiful space,2,Aesthetic,Aesthetic,,,,
NP,beautiful tourist site,3,Aesthetic,Aesthetic,,,,
NP,beautiful trail,2,Aesthetic,Aesthetic,,,,
NP,beautiful vegetation,2,Aesthetic,Aesthetic,,,,
NP,beautiful view,2,Aesthetic,Aesthetic,,,CNP,Y
NP,beautiful visit,2,Aesthetic,Aesthetic,,,,
NP,beautiful vista,2,Aesthetic,Aesthetic,,,,
NP,beautiful walk,2,Aesthetic,Aesthetic,Y,,,
NP,beautiful walk,2,Recreational,Aesthetic,Y,"added, manually",,
NP,beautiful waterfall,2,Aesthetic,Aesthetic,,,,
NP,beauty and peace,3,Aesthetic,Aesthetic,,,,
NP,beauty and spirituality,3,Spiritual,Spiritual,,,,
NP,beauty and tranquility,3,Aesthetic,Aesthetic,,,,
NP,beauty of lagoon,3,Aesthetic,Aesthetic,,,,
NP,beauty of landscape,3,Aesthetic,Aesthetic,,,,
NP,beauty of mountain,3,Aesthetic,Aesthetic,,,,
NP,beauty of nature,3,Aesthetic,Aesthetic,,,,
VP,become green subtropical forest,4,Identity,Identity,Y,,,
VP,become green subtropical forest,4,Biological,Identity,Y,"added, second frequent CES",,
NP,beloved Ecuador,2,Aesthetic,Aesthetic,,,CNP,
NP,big lake,2,Aesthetic,Aesthetic,,,,
NP,biodiverse national park,3,Biological,Biological,,,,
NP,bird and flora,3,Biological,Biological,,,,
NP,bird and flower,3,Biological,Biological,,,,
NP,bird and llama,3,Biological,Biological,,,,
NP,bird and plant,3,Biological,Biological,,,,
NP,bird life,2,Biological,Biological,,,,
NP,bird specie,2,Biological,Biological,,,,
NP,bird watching,2,Recreational,Recreational,,,,Y
VP,breathe deeply,2,Spiritual,Spiritual,,,,
VP,breathe fresh air,3,Spiritual,Spiritual,,,,Y
VP,breathe in,2,Spiritual,Spiritual,,,,
VP,breathe peace,2,Spiritual,Spiritual,,,,
VP,breathe peace and tranquility,4,Spiritual,Spiritual,,,,
VP,breathe pure air,3,Spiritual,Spiritual,,,,
VP,breathe so much peace,4,Spiritual,Spiritual,,,,
NP,breathtaking landscape,2,Aesthetic,Aesthetic,,,,
NP,breathtaking park,2,Aesthetic,Aesthetic,,,,
NP,breathtaking picture,2,Aesthetic,Aesthetic,,,,
NP,breathtaking view,2,Aesthetic,Aesthetic,,,,Y
NP,breathtaking vista,2,Aesthetic,Aesthetic,,,,
NP,brewery in ruin,3,Cultural,Cultural,,,,
VP,bring kid,2,Social,Social,,,,
NP,bromeliad and orchid,3,Biological,Biological,,,,
VP,camp alone,2,Recreational,Recreational,,,,
VP,camp night,2,Recreational,Recreational,,,,
VP,camp overnight,2,Recreational,Recreational,,,,
VP,camp there,2,Recreational,Recreational,,,,
NP,camp trip,2,Recreational,Recreational,,,,
NP,camp with friend,3,Social,Social,,,,
NP,camping at night,3,Recreational,Recreational,,,,
NP,camping day,2,Recreational,Recreational,,,,
NP,camping trip,2,Recreational,Recreational,,,,
NP,camping with friend,3,Social,Social,,,,
VP,carry fishing rod,3,Recreational,Recreational,,,,
VP,catch fish,2,Recreational,Recreational,,,,
VP,catch trout,2,Recreational,Recreational,,,,
VP,change weather,2,Biological,Biological,,,,
NP,chapel of virgin,3,Spiritual,Spiritual,,,CNP,
NP,charm and mystery,3,Spiritual,Spiritual,,,,
NP,charming lagoon,2,Aesthetic,Aesthetic,,,,
NP,charming place,2,Aesthetic,Aesthetic,,,,
NP,chilly weather,2,Identity,Aesthetic,,"replaced, manually",,
NP,circuit around lagoon,3,Recreational,Recreational,,,,
NP,circuit for trekking,3,Recreational,Recreational,,,,
NP,clean air,2,Biological,Biological,,,,Y
VP,clear mind,2,Spiritual,Spiritual,,,,
VP,clear mind of everyday life,5,Spiritual,Spiritual,,,,
NP,clear sky,2,Aesthetic,Aesthetic,,,,
VP,climb down,2,Recreational,Recreational,,,,
VP,climb high viewpoint,3,Recreational,Recreational,,,,
VP,climb hill,2,Recreational,Recreational,,,,
VP,climb in mountain,3,Recreational,Recreational,,,,
VP,climb mountain,2,Recreational,Recreational,,,,
VP,climb rock,2,Recreational,Recreational,,,,
VP,climb to top,3,Recreational,Recreational,,,,
VP,climb up,2,Recreational,Recreational,,,,
VP,climb up mountain,3,Recreational,Recreational,,,,
NP,cloud and rain,3,Biological,Biological,,,,
NP,cloud fog,2,Identity,Identity,,,,
NP,cloud forest,2,Biological,Biological,,,,Y
NP,cloud formation,2,Aesthetic,Aesthetic,Y,,,
NP,cloud formation,2,Identity,Aesthetic,Y,"added, second frequent CES",,
NP,cloud in front,3,Aesthetic,Aesthetic,,,,
NP,coca tea,2,Biological,Biological,Y,,,
NP,coca tea,2,Cultural,Biological,Y,"added, second frequent CES",,
NP,cold paradise,2,Aesthetic,Aesthetic,Y,,,
NP,cold paradise,2,Identity,Aesthetic,Y,"added, second frequent CES",,
NP,cold place,2,Identity,Identity,,,,Y
NP,cold rainy weather,3,Biological,Biological,,,,
NP,cold weather,2,Identity,Identity,,,,Y
VP,come across llama,3,Biological,Biological,,,,
VP,come into contact with nature,5,Biological,Biological,,,,
VP,complete hike,2,Recreational,Recreational,,,,
VP,complete tour,2,Recreational,Recreational,,,,
VP,complete trail,2,Recreational,Recreational,,,,
VP,connect to nature,3,Spiritual,Spiritual,,,,
VP,connect with mother earth,4,Spiritual,Spiritual,,,,
VP,connect with nature,3,Spiritual,Spiritual,,,,Y
VP,connect with spirituality,3,Spiritual,Spiritual,,,,
NP,connection with nature,3,Spiritual,Spiritual,,,,
VP,conserve nature,2,Identity,Identity,,,,
VP,conserve water,2,Educational,Educational,Y,,,
VP,conserve water,2,Biological,Educational,Y,"added, second frequent CES",,
VP,constitute natural heritage,3,Cultural,Cultural,,,,
NP,contact with nature,3,Spiritual,Spiritual,,,,Y
VP,contemplate in silence,3,Spiritual,Spiritual,,,,
NP,continental divide,2,Identity,Identity,,,,Y
NP,cool place,2,Identity,Identity,,,,
NP,countless lagoon,2,Biological,Biological,,,,
VP,cover in native grass,4,Biological,Biological,,,,
VP,create by nature million of year,6,Biological,Biological,,,,
VP,cross evergreen cloud forest,4,Biological,Biological,,,,
NP,crystal clear lagoon,3,Aesthetic,Aesthetic,,,,
NP,crystal clear lake,3,Aesthetic,Aesthetic,,,,
NP,crystal clear water,3,Aesthetic,Aesthetic,,,,
NP,crystalline water,2,Aesthetic,Aesthetic,,,,
NP,cultural heritage of Ecuador,4,Cultural,Cultural,,,CNP,
NP,day camping,2,Recreational,Recreational,,,,
NP,day excursion,2,Recreational,Recreational,,,,
NP,day hike,2,Recreational,Recreational,,,,Y
NP,day hiking,2,Recreational,Recreational,,,,
NP,day of hiking,3,Recreational,Recreational,,,,
NP,day tour,2,Recreational,Recreational,,,,Y
NP,day trail,2,Recreational,Recreational,,,,
NP,day trek,2,Recreational,Recreational,,,,
NP,day trekking,2,Recreational,Recreational,,,,
NP,day trip,2,Recreational,Recreational,,,,Y
NP,day walk,2,Recreational,Recreational,,,,
NP,day with friend,3,Social,Social,,,,
NP,delicious trout,2,Recreational,Aesthetic,,"replaced, manually",CNP,
NP,dense fog,2,Biological,Biological,,,,
VP,describe beauty,2,Aesthetic,Aesthetic,,,,
NP,different activity,2,Recreational,Recreational,,,,
NP,different ecosystem,2,Biological,Biological,,,,
NP,different hike,2,Recreational,Recreational,,,,
NP,different lagoon,2,Aesthetic,Aesthetic,,,,
NP,different route,2,Recreational,Recreational,,,,Y
NP,different specie,2,Biological,Biological,,,,
NP,different trail,2,Recreational,Recreational,,,,Y
VP,disconnect from routine,3,Spiritual,Spiritual,,,,
VP,disconnect from world,3,Spiritual,Spiritual,,,,
NP,diverse ecosystem,2,Biological,Biological,,,,
NP,diverse fauna,2,Biological,Biological,,,,
NP,diverse flora,2,Biological,Biological,,,,
NP,diverse landscape,2,Aesthetic,Aesthetic,,,,
NP,diverse plant,2,Biological,Biological,,,,
NP,diversity of ecology,3,Biological,Biological,,,,
NP,diversity of flora,3,Biological,Biological,,,,
NP,diversity of plant,3,Biological,Biological,,,,
NP,divine landscape,2,Aesthetic,Aesthetic,,,,
VP,do as family,3,Social,Social,,,,
VP,do beautiful walk,3,Aesthetic,Aesthetic,,,,
VP,do bit of hike,4,Recreational,Recreational,,,,
VP,do boat tour,3,Recreational,Recreational,,,,
VP,do camp,2,Recreational,Recreational,,,,
VP,do camping,2,Recreational,Recreational,,,,
VP,do circuit,2,Recreational,Recreational,,,,
VP,do day hike,3,Recreational,Recreational,,,,
VP,do day trip,3,Recreational,Recreational,,,,
VP,do different activity,3,Recreational,Recreational,,,,
VP,do entire route,3,Recreational,Recreational,,,,
VP,do fishing,2,Recreational,Recreational,,,,
VP,do gorgeous hike,3,Recreational,Recreational,,,,
VP,do hike,2,Recreational,Recreational,,,,Y
VP,do hiking,2,Recreational,Recreational,,,,
VP,do hiking tour,3,Recreational,Recreational,,,,
VP,do hiking trail,3,Recreational,Recreational,,,,
VP,do horse back tour,4,Recreational,Recreational,,,,
VP,do little hiking,3,Recreational,Recreational,,,,
VP,do little walk,3,Recreational,Recreational,,,,
VP,do long trail,3,Recreational,Recreational,,,,
VP,do loop,2,Recreational,Recreational,,,,
VP,do lot of walking,4,Recreational,Recreational,,,,
VP,do other activity,3,Recreational,Recreational,,,,
VP,do pole fishing,3,Recreational,Recreational,,,,
VP,do private tour,3,Recreational,Recreational,,,,
VP,do quick hike,3,Recreational,Recreational,,,,
VP,do rock climb,3,Recreational,Recreational,,,,
VP,do route,2,Recreational,Recreational,,,,Y
VP,do serious hiking,3,Recreational,Recreational,,,,
VP,do several hike,3,Recreational,Recreational,,,,
VP,do short hike,3,Recreational,Recreational,,,,
VP,do small family excursion,4,Social,Social,,,,
VP,do small route,3,Recreational,Recreational,,,,
VP,do sport fishing,3,Recreational,Recreational,,,,
VP,do stroll,2,Recreational,Recreational,,,,
VP,do tour,2,Recreational,Recreational,,,,
VP,do trail,2,Recreational,Recreational,,,,
VP,do very easy route,4,Recreational,Recreational,,,,
VP,do walk,2,Recreational,Recreational,,,,
VP,do with friend,3,Social,Social,,,,
VP,do wonderful hike,3,Recreational,Recreational,,,,
VP,do yoga,2,Recreational,Recreational,,,,
NP,dream landscape,2,Aesthetic,Aesthetic,,,,
NP,dream place,2,Aesthetic,Aesthetic,,,,
NP,dwarf tree,2,Biological,Biological,,,,
NP,easy hike,2,Recreational,Recreational,,,,Y
NP,easy route,2,Recreational,Recreational,,,,
NP,easy trail,2,Recreational,Recreational,,,,Y
NP,easy walk,2,Recreational,Recreational,,,,
VP,eat delicious trout,3,Recreational,Recreational,,,,
VP,eat fresh trout,3,Recreational,Recreational,,,,
VP,eat good fish,3,Recreational,Recreational,,,,
VP,eat lunch,2,Social,Social,,,,
VP,eat trout,2,Recreational,Recreational,,,,Y
NP,ecological reserve,2,Biological,Biological,,,,
NP,ecuadorian bird,2,Biological,Biological,,,CNP,
NP,ecuadorian friend,2,Social,Social,,,CNP,
NP,ecuadorian high mountain,3,Identity,Identity,,,CNP,
NP,ecuadorian mountain,2,Identity,Identity,,,CNP,
NP,ecuadorian pride,2,Identity,Identity,,,CNP,
VP,educate child about ecology,4,Educational,Educational,,,,
VP,elevate spirit,2,Spiritual,Spiritual,,,,
NP,elevation change,2,Identity,Identity,,,,
NP,emblematic place,2,Identity,Identity,,,,
VP,enchant landscape,2,Aesthetic,Aesthetic,,,,
VP,enchant place,2,Spiritual,Spiritual,,,,
NP,enchanted forest,2,Spiritual,Spiritual,,,,
VP,encounter wildlife,2,Biological,Biological,,,,
NP,encounter with nature,3,Spiritual,Spiritual,,,,
NP,endemic bird,2,Biological,Biological,,,,
NP,endemic flora,2,Biological,Biological,,,,
NP,endemic plant,2,Biological,Biological,,,,
NP,endemic specie,2,Biological,Biological,,,,
VP,enjoy as family,3,Social,Social,,,,
VP,enjoy beautiful family day,4,Social,Social,,,,
VP,enjoy beautiful landscape,3,Aesthetic,Aesthetic,,,,
VP,enjoy beautiful place,3,Aesthetic,Aesthetic,,,,
VP,enjoy beautiful scenery,3,Aesthetic,Aesthetic,,,,
VP,enjoy beauty,2,Aesthetic,Aesthetic,,,,
VP,enjoy camping,2,Recreational,Recreational,,,,
VP,enjoy climate,2,Spiritual,Spiritual,,,,
VP,enjoy close encounter with nature,5,Recreational,Recreational,Y,,,
VP,enjoy close encounter with nature,5,Spiritual,Recreational,Y,"added, second frequent CES",,
